drug_name,drug_product_id,drug_source,drug_rxnorm_name,drug_term_type,active_ingredient,ingredient_term_type,adverse_effect,adverse_effect_type,label_section,match_method,label_id,effect_id,meddra_id,product_label_id,ingredient_id
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,,,,SM,270,1,10050659,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Stomatitis,PT,,SM,270,2,10042128,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Dry mouth,PT,,SM,270,3,10013781,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Glossodynia,PT,,SM,270,4,10018388,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Inappetence,LLT,,SM,270,5,10054792,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Nausea,PT,,SM,270,6,10028813,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,,,,SM,270,7,10002013,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Constipation,PT,,SM,270,8,10010774,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Vomiting,PT,,SM,270,9,10047700,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Dyspepsia,PT,,SM,270,10,10013946,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Dysphagia,PT,,SM,270,11,10013950,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Gastritis,PT,,SM,270,12,10017853,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Gastrooesophageal reflux,LLT,,SM,270,13,10017884,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Oesophageal reflux,LLT,,SM,270,14,10030182,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Gastrooesophageal reflux disease,PT,,SM,270,15,10017885,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Illness,PT,,SM,270,16,10080284,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,,,,SM,270,17,10004683,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Cholangitis,PT,,SM,270,18,10008604,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,,,,SM,270,19,10004683,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Cholangitis,PT,,SM,270,20,10008604,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Pain,PT,,SM,270,21,10033371,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Pain,PT,,SM,270,22,10033371,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Abdominal pain,PT,,SM,270,23,10000081,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Bone pain,PT,,SM,270,24,10006002,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Headache,PT,,SM,270,25,10019211,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Pain,PT,,SM,270,26,10033371,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,Fatigue,PT,,SM,270,27,10016256,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,,,,SM,270,28,10047890,270,495881
ネクサバール錠200mg,00054545,JP,SORAfenib (as SORAfenib tosylate) 200 MG Oral Tablet,TMSY,sorafenib,Ingredient,,,,SM,270,29,10047895,270,495881
